Node,SIR
6144,498.355
5492,314.659
6074,576.943
5516,598.42
6145,306.635
6147,493.471
6146,480.479
6125,272.45
5913,605.979
5645,597.862
6129,477.588
6148,545.879
5510,547.953
5559,599.094
5791,530.586
6070,535.498
6134,551.814
5684,533.016
6149,589.132
5482,600.733
5748,606.013
5961,579.065
6103,586.473
6150,578.546
5857,585.478
5870,563.121
6090,596.218
6151,608.864
5489,603.075
5549,602.327
5592,597.63
5716,607.242
5717,596.543
5742,378.605
5789,374.039
5796,598.613
5811,557.958
6012,604.188
6031,597.634
6180,608.949
6152,520.416
5634,483.541
5665,595.113
5872,538.206
6087,478.776
6154,523.578
5876,407.45
6010,607.868
5918,609.431
6155,512.627
5729,542.362
5730,491.379
5731,481.312
6022,495.223
6156,559.904
5879,558.127
5945,559.003
5946,602.682
5878,560.461
6157,609.31
5496,599.604
5721,603.982
5722,602.902
5726,607.798
5738,602.705
5871,607.205
5920,609.332
5936,609.431
6014,588.681
6016,607.926
6158,598.53
5574,592.724
5674,598.414
5794,604.63
6083,605.486
6159,608.515
5585,610.22
5587,609.235
5728,604.93
5952,609.187
5958,609.051
6018,608.793
6162,579.318
6160,466.627
5994,516.99
6161,255.683
5589,453.116
5788,144.396
5998,608.555
6163,487.932
5948,530.218
6064,283.611
6135,532.013
5590,359.981
6164,609.347
5595,609.651
5628,608.794
6093,609.176
6174,609.216
6184,609.385
6019,603.218
5541,607.029
6173,598.813
6165,500.162
5604,608.676
6178,586.836
6166,610.188
5591,602.437
6091,606.707
6095,604.276
5733,585.143
6167,334.618
5858,387.285
6092,358.99
6168,606.146
5593,569.064
5624,609.002
6185,608.548
6169,599.774
5766,609.826
5767,601.565
6100,581.274
6124,555.453
5908,561.609
6170,539.988
5768,604.59
5769,589.677
6171,486.424
6172,605.865
5596,581.235
6050,605.086
5765,608.407
5956,599.217
5838,599.343
5659,513.085
6175,602.754
5483,565.762
5495,570.883
5764,536.37
5934,577.817
6186,587.398
6176,599.372
5498,347.808
5703,528.668
6116,590.569
6117,592.062
6177,490.206
5763,548.572
5575,496.428
5790,592.304
6071,600.292
6179,589.292
5776,551.154
5792,554.024
6005,604.18
5671,550.858
6211,586.979
6221,504.184
6181,609.515
5568,604.844
5570,609.624
5642,608.206
5812,568.007
6028,584.481
6032,583.17
6101,602.999
6183,555.932
6182,596.991
5664,610.109
5477,596.816
5625,599.525
5818,554.506
6068,571.223
5741,466.451
5782,570.137
5724,605.239
6187,573.66
5500,544.384
5650,604.165
5786,546.664
6097,586.609
6188,545.359
5781,602.239
5963,308.972
5939,590.363
6189,535.935
5644,554.829
6079,394.016
6190,533.182
5866,321.424
6191,338.936
6192,607.02
5534,591.402
5563,592.317
5759,604.451
5971,540.212
6013,504.098
6024,585.672
5639,609.01
6234,491.422
6194,1.591
6198,1.628
