Timestep,KendallTau,MAP,a
7,0.8541259769895874,0.9500721429503132,1.0
8,0.8491860780946523,0.7600657435203937,1.0
9,0.8294525308620994,0.8695543332854085,1.0
7,0.8640849577748195,0.9507750380854095,1.1
9,0.8258938534624464,0.8430454956586648,1.1
8,0.8622177638496715,0.750536212221979,1.1
8,0.8660011764699369,0.7649073576025385,1.2
7,0.8575630605960185,0.9582700002627538,1.2
9,0.8309831673240587,0.8586726718122393,1.2
7,0.8640093596964707,0.9532631545441141,1.3
9,0.820275515944939,0.8185507041997486,1.3
8,0.8652477393066086,0.7649073576025385,1.3
9,0.8247942206953393,0.8494320085680489,1.4
7,0.8611344935149825,0.9500721429503132,1.4
8,0.8621122038411747,0.7605978612240767,1.4
8,0.8512865010765706,0.7446086449782918,1.5
7,0.8613290509928265,0.9500721429503132,1.5
9,0.8221215679371702,0.7986661367759131,1.5
7,0.8583559686152158,0.9500721429503132,1.6
8,0.8428644974073384,0.7565196845862037,1.6
9,0.8204804376699659,0.8400902273500368,1.6
7,0.8602986175391347,0.9506705619515216,1.7
8,0.830780214245229,0.7176614060967562,1.7
9,0.8263009985713753,0.7374246054787116,1.7
7,0.8579160034237284,0.9525235589770967,1.8
8,0.8339811454057967,0.7015161930256268,1.8
9,0.8202076572821374,0.6661271999063723,1.8
7,0.8575691182474551,0.9519851744752398,1.9
8,0.805447102221279,0.6650513195985625,1.9
9,0.8124854752712951,0.6547571659519583,1.9
