Timestep,KendallTau,MAP,a
7,0.8538317213286144,0.8944084938681137,1.0
8,0.8487568746045587,0.8389166624061968,1.0
9,0.8511209884712749,0.579216050988607,1.0
7,0.8523230835773931,0.8891146998566843,1.1
9,0.8477665045178058,0.5848689676398867,1.1
8,0.8435042836277855,0.834334713562887,1.1
8,0.8375204395413728,0.8379785690468301,1.2
7,0.8524899440277218,0.8883695776499422,1.2
9,0.8454245671649028,0.5951730917274444,1.2
7,0.8525138296723681,0.8950131731972732,1.3
9,0.8443667114931759,0.5825725209604455,1.3
8,0.8324185145734205,0.8322325985203058,1.3
9,0.8409850719045462,0.5834407849239167,1.4
7,0.8515735482288388,0.8835778799031437,1.4
8,0.828930196796709,0.842070668025195,1.4
8,0.8231774040019073,0.8361845046580192,1.5
7,0.849220758079037,0.8936637980538014,1.5
9,0.8376006441411676,0.5788149590628839,1.5
7,0.8484300038821356,0.8868891775531893,1.6
8,0.8185799538863267,0.8385517534787308,1.6
9,0.8317745205330503,0.5933542694943355,1.6
7,0.8453178879348152,0.8936261587885198,1.7
8,0.8147591586065507,0.8333286492033314,1.7
9,0.827756732273445,0.5805793047696307,1.7
7,0.8424250622864239,0.8852522072438289,1.8
8,0.8103658333519329,0.8370874839625291,1.8
9,0.8181100016021648,0.5841971203620306,1.8
