Timestep,KendallTau,MAP,a
7,0.7940994602515391,0.49952704458146846,1.0
8,0.7387742538686247,0.6239128721752618,1.0
8,0.7597037680270957,0.6138545963049745,1.1
7,0.8128054809954792,0.5024487057198607,1.1
8,0.7734402500205539,0.5654731866725394,1.2
7,0.8216991537891185,0.4890344927523531,1.2
7,0.8258661009685984,0.5012134484453741,1.3
8,0.7909529488072331,0.5735726954790787,1.3
8,0.8087419537770836,0.5847003328499201,1.4
7,0.8249668974661432,0.49362624022908,1.4
8,0.8240283172530742,0.5280304678070702,1.5
7,0.8183583841267436,0.4590053617779398,1.5
7,0.8129586350497077,0.4736097037139551,1.6
8,0.8274953226518955,0.5701745038565159,1.6
7,0.8138750804743617,0.4645183458244957,1.7
8,0.828568789712461,0.6201604486155987,1.7
7,0.8078405080493111,0.43171591111335833,1.8
8,0.830100511426049,0.570458016565509,1.8
