Timestep,KendallTau,MAP,a
7,0.7871474196114993,0.870436335601504,1.0
8,0.7963121676092167,0.86196527144986,1.0
9,0.7982967040694715,0.8228558279485333,1.0
7,0.8017455036355782,0.9029725493233406,1.1
9,0.8050446966708026,0.8811823535171514,1.1
8,0.796310389928964,0.8502516300212808,1.1
8,0.8026950001781082,0.8767529395266581,1.2
7,0.8056259582188318,0.8954363672380774,1.2
9,0.8114057467256239,0.8753137396102647,1.2
7,0.8209561670998364,0.905903074268068,1.3
9,0.8195992973453049,0.826175855822712,1.3
8,0.8121473353630895,0.8711808348434343,1.3
9,0.8206163983832356,0.8660404224321916,1.4
7,0.8146297488868517,0.8876465445869746,1.4
8,0.8296900322773719,0.8898660540377265,1.4
8,0.8172849047564332,0.8687003845547405,1.5
7,0.8192482389966951,0.8676555991692673,1.5
9,0.8292443810795386,0.8809665551048691,1.5
7,0.8195183528329701,0.8902273782045609,1.6
8,0.8176129670235809,0.8665518657972802,1.6
9,0.8340481339977959,0.9034809403250749,1.6
7,0.8079026777495874,0.8769356832428897,1.7
8,0.8082191786225229,0.8739974386483437,1.7
9,0.8264911961866434,0.8494141336667894,1.7
7,0.7979844531555594,0.8756463342982652,1.8
8,0.8007322396237292,0.8610412755625572,1.8
9,0.8232786172320755,0.8590047306968737,1.8
