Timestep,KendallTau,MAP,a
8,0.625554610477055,0.16746680077459794,1.0
9,0.5433521811467449,0.17314746712469614,1.0
10,0.6169322971105432,0.15895312623335173,1.0
8,0.6178018119491548,0.1875627105994092,1.1
10,0.6105236524569979,0.16504358861416718,1.1
9,0.5268601856684824,0.16698580426136136,1.1
9,0.6009024635820218,0.21762341807337604,1.2
8,0.6091377277283417,0.17986733012773337,1.2
10,0.6065159756424597,0.14754399447948177,1.2
8,0.6105654756133262,0.19541784176191737,1.3
10,0.5886066489510422,0.15888917104204964,1.3
9,0.58087333647486,0.2039795939434214,1.3
10,0.5759968661119992,0.1663325071754526,1.4
8,0.5832574407634582,0.18168860467628065,1.4
9,0.5627362561116722,0.1881797703439475,1.4
9,0.5447840582979412,0.18389922000143347,1.5
8,0.5786895900281595,0.18853904278107803,1.5
10,0.5566735736837229,0.15657843829653428,1.5
8,0.5158816424178018,0.15631607157847313,1.6
9,0.550361366311891,0.1918607486189343,1.6
10,0.5438719431649135,0.15888917104204964,1.6
8,0.5038910342376426,0.1609703378181052,1.7
9,0.5302612404573117,0.18115353196256162,1.7
10,0.5297609957021749,0.15888917104204964,1.7
8,0.5033200528957301,0.15130660088164102,1.8
9,0.49655565927969525,0.18139928573151942,1.8
10,0.5119703056249422,0.15965987466973666,1.8
