Timestep,KendallTau,MAP,a
7,0.8879945987002242,0.9245474403894012,1.0
8,0.8769663953125336,0.9409282610906825,1.0
9,0.8705047543945397,0.9301726401065097,1.0
7,0.8885141744409188,0.9145696063185871,1.1
9,0.8719175965844553,0.9301460560596716,1.1
8,0.883798668716946,0.9354156245098078,1.1
8,0.8871557906286492,0.9395955297334649,1.2
7,0.8857158750083274,0.9317395781240683,1.2
9,0.8756236888235495,0.927637302485655,1.2
7,0.8802411659508492,0.9115683993309702,1.3
9,0.8745898735063088,0.8714366372113329,1.3
8,0.8903516347504427,0.92364950406642,1.3
9,0.8779680531715247,0.8936109582040749,1.4
7,0.8809043118658244,0.8954106178751435,1.4
8,0.891609051419732,0.9255727909112893,1.4
8,0.895655047645,0.8970812242498319,1.5
7,0.879163620171889,0.8769682348536723,1.5
9,0.8798323713834814,0.8933473366934218,1.5
7,0.8724542273150379,0.888953185580184,1.6
8,0.8940624284335126,0.8240894467575322,1.6
9,0.8835091711048227,0.8956157500845064,1.6
7,0.8685141842236963,0.8171747908290402,1.7
8,0.8941265362946174,0.8048211981353938,1.7
9,0.8822566992712588,0.8793097430300137,1.7
7,0.8685219798583216,0.7901092304393762,1.8
8,0.8896621828559976,0.7779199341940787,1.8
9,0.8819469960024746,0.8601945256259993,1.8
