Timestep,KendallTau,MAP,a
7,0.801496713098164,0.3488616108774665,1.0
8,0.8137615018560266,0.35963907222882,1.0
9,0.8409896712848253,0.5646165347870854,1.0
7,0.8099813355287943,0.3607752887313121,1.1
9,0.8614511929755777,0.854096820603619,1.1
8,0.8216015972422971,0.37816344496442267,1.1
8,0.8270090784382369,0.36529415051618086,1.2
7,0.8141513465449659,0.32368149312539657,1.2
9,0.8479475468627663,0.7699678843676345,1.2
7,0.8200847091235034,0.35769712702211715,1.3
9,0.8478939917051632,0.7996333181314976,1.3
8,0.8235417709429831,0.36529415051618086,1.3
9,0.8471189675985696,0.8122465779825419,1.4
7,0.8203962789041376,0.3488616108774665,1.4
8,0.8202527786764525,0.35789878335224096,1.4
8,0.8111320249125745,0.37319091552153705,1.5
7,0.822246153935234,0.3488616108774665,1.5
9,0.8352863705933659,0.7493892736438521,1.5
7,0.819371324338015,0.349264259686202,1.6
8,0.8040272342600745,0.3664626817013335,1.6
9,0.8326281629257909,0.8025063891301207,1.6
7,0.8175282294579199,0.36564277028833425,1.7
8,0.7952001898811225,0.30672226022299065,1.7
9,0.81035448180499,0.6997435796006781,1.7
7,0.8135102763729123,0.35309674453774403,1.8
8,0.7962988523598874,0.33939982566206994,1.8
9,0.8044644475121816,0.776644399189286,1.8
