Timestep,KendallTau,MAP,a
8,0.7130127327853912,0.2139539909953232,1.0
9,0.687495265576358,0.2217141382582559,1.0
10,0.6478539645569598,0.26549580470035017,1.0
8,0.7002159592900082,0.19327254749946632,1.1
10,0.6221392309631737,0.17665418497469104,1.1
9,0.6819193350365849,0.19868706589668492,1.1
9,0.6803874604133974,0.2052802195146693,1.2
8,0.7224855964455443,0.23802288384161885,1.2
10,0.6175326134828426,0.18863109695160302,1.2
8,0.7151541307452093,0.21368600539522542,1.3
10,0.6065294649751954,0.19138591788824216,1.3
9,0.7042235749512014,0.21659436790764927,1.3
10,0.5990247697886674,0.20553202894898354,1.4
8,0.7160106027580779,0.21829157755766643,1.4
9,0.7020339161315388,0.2654449943703361,1.4
9,0.7124236631551045,0.40322060515558966,1.5
8,0.7122074252595008,0.2233477697071807,1.5
10,0.5944164193952495,0.19276332835656174,1.5
8,0.7037345039069625,0.335750108277051,1.6
9,0.6766711511851272,0.1971558289884897,1.6
10,0.5798127501111556,0.19138591788824216,1.6
8,0.6997376345135761,0.266712479239422,1.7
9,0.6846511562366677,0.24734020783960214,1.7
10,0.5720078671171666,0.19138591788824216,1.7
8,0.6997376345135761,0.25840368277273074,1.8
9,0.6792953068113359,0.2544562207100907,1.8
10,0.5741091817693943,0.1885131396438006,1.8
