Timestep,KendallTau,MAP,a
7,0.6482550193628043,0.4814872868598903,1.0
8,0.6882635843298872,0.4773859318534566,1.0
9,0.7255450568197472,0.8607293779396098,1.0
7,0.6613704515078401,0.5202500956636241,1.1
9,0.7144895129243853,0.8074873334810606,1.1
8,0.675073192965927,0.4860225747387504,1.1
8,0.6651929558727173,0.47590273038921477,1.2
7,0.6689146105037709,0.5136495038212019,1.2
9,0.7327646016147268,0.8139989648717778,1.2
7,0.6740531769155133,0.49207196618364335,1.3
9,0.7125586014399597,0.8172530785406169,1.3
8,0.6577878464598756,0.4771517716527382,1.3
9,0.7185432598702429,0.8062515085466279,1.4
7,0.691649694728766,0.5171600235635087,1.4
8,0.646050133306842,0.46220258077019377,1.4
8,0.6323230430853964,0.5261504595683381,1.5
7,0.707409600125238,0.5435181745498212,1.5
9,0.7208406268461189,0.8017221269085116,1.5
7,0.6971209611564633,0.5048108897995178,1.6
8,0.6261703956698943,0.4797504207862996,1.6
9,0.7173921824450712,0.7331607557097712,1.6
7,0.6939723656746327,0.39824398027936625,1.7
8,0.6042647260325609,0.4338700700297906,1.7
9,0.7151825214847842,0.7575398007743616,1.7
7,0.6911422376405516,0.4768827469005594,1.8
8,0.60899176684312,0.41329883872499246,1.8
9,0.7071804342318022,0.6575246048558854,1.8
7,0.6782103832601943,0.4195301865408341,1.9
8,0.6031003032680237,0.3988911611998508,1.9
9,0.71251465967616,0.7094729555240673,1.9
