LearningRate,Timestep,KendallTau,MAP,a
0.01,7,0.8487134520214726,0.8041909638553432,1.5
0.01,8,0.8695686699442667,0.8107918739248041,1.5
0.01,9,0.8622477117543171,0.8183032583637184,1.5
0.01,7,0.8669934333787451,0.8453279515377911,1.1
0.01,8,0.8783224662051665,0.8746986529199798,1.1
0.01,9,0.8674191099504402,0.8205582230133981,1.1
0.01,7,0.8637255451578488,0.854630733225717,1.2
0.01,8,0.8785328038739965,0.8636699520017377,1.2
0.01,9,0.866744265081404,0.8043312633661631,1.2
0.01,7,0.8576883708497057,0.8322408513467728,1.3
0.01,8,0.8755923956451999,0.8662652246541441,1.3
0.01,9,0.863871762986313,0.794504148387132,1.3
0.01,7,0.8519348494928765,0.8170344581048635,1.4
0.01,8,0.8708197847515496,0.8614250861692198,1.4
0.01,9,0.8621569165275095,0.7872090337580793,1.4
0.01,7,0.8676393049741046,0.8520343799228366,1.0
0.01,8,0.8746250731484213,0.8858508875922821,1.0
0.01,9,0.8661775604556065,0.8238509988316898,1.0
0.01,7,0.8435527737846845,0.8014380249715172,1.6
0.01,8,0.8655413912310299,0.7473404311390699,1.6
0.01,9,0.8603785229749512,0.7806017746382667,1.6
0.01,7,0.8394190271615858,0.7154394691667967,1.7
0.01,8,0.8620572337315394,0.7115764383278498,1.7
0.01,9,0.8590491581471673,0.8068510270587607,1.7
0.01,7,0.837933915780122,0.702364466320044,1.8
0.01,8,0.8562103450940363,0.7008360546821722,1.8
0.01,9,0.8569409027292513,0.7832948385150933,1.8
0.01,7,0.8366698146017313,0.6889133999476067,1.9
0.01,8,0.8525313652075264,0.6986910318112433,1.9
0.01,9,0.852765652392266,0.7853574856442188,1.9
0.005,7,0.8407706869613278,0.7754899445157518,1.5
0.005,8,0.8645624758063271,0.8152500566005123,1.5
0.005,9,0.8610039495612937,0.7395635898290662,1.5
0.005,7,0.8398499484682727,0.8205696810266063,1.1
0.005,8,0.8590093729613616,0.8683483169511508,1.1
