LearningRate,Timestep,KendallTau,MAP,a
0.01,7,0.8478007474801181,0.8146504944155809,1.5
0.01,8,0.7749110786863197,0.7257483834735123,1.5
0.01,9,0.7997278314601364,0.8073587199726073,1.5
0.01,7,0.8214605994126338,0.8581733640011664,1.1
0.01,8,0.794535431729973,0.7043176865719589,1.1
0.01,9,0.7998365664909913,0.8839293435644635,1.1
0.01,7,0.8319066744162994,0.8177500082123504,1.2
0.01,8,0.803585233965707,0.724836374718007,1.2
0.01,9,0.8119152047225511,0.8017914143632627,1.2
0.01,7,0.8264562179632954,0.8493817239666045,1.3
0.01,8,0.7979466697552655,0.724836374718007,1.3
0.01,9,0.7925213228591117,0.8601266225294986,1.3
0.01,7,0.8475390107125809,0.8146504944155809,1.4
0.01,8,0.7963649330039537,0.7199785863075869,1.4
0.01,9,0.7942588525906166,0.8692959448107065,1.4
0.01,7,0.8321392815498179,0.8146504944155809,1.0
0.01,8,0.7769962202585661,0.7157951470017375,1.0
0.01,9,0.7948411095939213,0.8797052538049643,1.0
0.01,7,0.845055953861005,0.804407817327062,1.6
0.01,8,0.7605914585331169,0.6314230471000956,1.6
0.01,9,0.7777258739204143,0.8109824041915239,1.6
0.01,7,0.8316053121478583,0.8237687115784942,1.7
0.01,8,0.7551764581235474,0.6009060809090613,1.7
0.01,9,0.7780543031632906,0.7200175403169295,1.7
0.01,7,0.8337117427364702,0.8088907085933509,1.8
0.01,8,0.7543271377138723,0.6126744869097611,1.8
0.01,9,0.7640206844824675,0.7466528048252431,1.8
0.01,7,0.8454266374038363,0.8130165074874763,1.9
0.01,8,0.7351223304763226,0.5615250367437087,1.9
0.01,9,0.7611156009891292,0.7689572882684338,1.9
0.005,7,0.8752248333918254,0.9338401922337133,1.5
0.005,8,0.8439956322231063,0.8289304479661559,1.5
0.005,9,0.846076079986846,0.7810514365424523,1.5
0.005,7,0.8777826613224259,0.9355702387281333,1.1
0.005,8,0.8682670542099391,0.8571915505896783,1.1
0.005,9,0.8687798049362994,0.8598400640049837,1.1
0.005,7,0.8752713396914249,0.9493409244575572,1.2
0.005,8,0.866156304311669,0.8555737257365592,1.2
0.005,9,0.8674905120913576,0.8086719367456796,1.2
0.005,7,0.878811508573871,0.9305641124304469,1.3
0.005,8,0.8687380488641182,0.8602568186549464,1.3
0.005,9,0.855494161938935,0.8336977084928283,1.3
0.005,7,0.8757766624808789,0.9306799468883866,1.4
0.005,8,0.8599405388951485,0.8430382178090563,1.4
0.005,9,0.8528189029781179,0.8639281518758148,1.4
0.005,7,0.870287056765011,0.9306799468883866,1.0
0.005,8,0.8646215941287074,0.9004075082996348,1.0
0.005,9,0.8660320525553303,0.8675728310365656,1.0
0.005,7,0.869588832220511,0.9416152874193153,1.6
0.005,8,0.8375900497173093,0.8254489294846374,1.6
0.005,9,0.8316780615091343,0.8104481943470196,1.6
0.005,7,0.8696729160417759,0.9416152874193153,1.7
0.005,8,0.8264364682018385,0.8019833622666983,1.7
0.005,9,0.8131366400493382,0.7324649261636692,1.7
0.005,7,0.8674975963141575,0.9261437381187683,1.8
0.005,8,0.8159818314159233,0.7473835290093269,1.8
0.005,9,0.8104360098387166,0.7271481155979188,1.8
0.005,7,0.8677183585436512,0.9289647843276359,1.9
0.005,8,0.7924166132065766,0.6991124290644983,1.9
0.005,9,0.8081424475909005,0.793312774708779,1.9
0.001,7,0.8090534707513817,0.30917696596223565,1.5
0.001,8,0.7548185491300399,0.19273126676705762,1.5
0.001,9,0.6711339185686974,0.22223898275022796,1.5
0.001,7,0.8010973051801409,0.3578559058716728,1.1
0.001,8,0.7444348657697976,0.18501906149742672,1.1
0.001,9,0.6638501001087103,0.2253365357240886,1.1
0.001,7,0.8070850379745608,0.4203551780273401,1.2
0.001,8,0.7496820666851746,0.19083613272273875,1.2
0.001,9,0.6619047706852504,0.25754626891596333,1.2
0.001,7,0.774507854186639,0.2705722872468688,1.3
0.001,8,0.7694321009142314,0.2017494372743605,1.3
0.001,9,0.6837905535477375,0.23335764411858861,1.3
0.001,7,0.8054872483094272,0.39696889910782246,1.4
0.001,8,0.7646901535049884,0.19767019069624897,1.4
0.001,9,0.706816105953134,0.26082392015684097,1.4
0.001,7,0.7841040634781138,0.3320143298304945,1.0
0.001,8,0.738539885769447,0.182179506153254,1.0
0.001,9,0.628072280807703,0.2002440163416265,1.0
0.001,7,0.8132198282410598,0.37256032980582054,1.6
0.001,8,0.7619811159010562,0.22749900015540075,1.6
0.001,9,0.6726044339179517,0.2268427365051673,1.6
0.001,7,0.8079102667941109,0.36031236110337106,1.7
