LearningRate,Timestep,KendallTau,MAP,a
0.01,8,0.8160167147213733,0.336065382381989,1.5
0.01,9,0.7822884146523593,0.5173331877837879,1.5
0.01,10,0.7314222359727881,0.36637995681241436,1.5
0.01,8,0.827922945772897,0.3492967083007343,1.1
0.01,9,0.7980325840038534,0.4187739092630397,1.1
0.01,10,0.755235922181253,0.4274467501420536,1.1
0.01,8,0.8204999375476333,0.3322511221644543,1.2
0.01,9,0.7939977312260582,0.40837151362811186,1.2
0.01,10,0.7572442032526155,0.40732285230076437,1.2
0.01,8,0.829635889798634,0.36207827580950835,1.3
0.01,9,0.7934405346096676,0.4098680981606454,1.3
0.01,10,0.7447277698153839,0.37395571438817193,1.3
0.01,8,0.8125910716999786,0.3189822101339323,1.4
0.01,9,0.7915715284202143,0.4801221368031713,1.4
0.01,10,0.7393235771700798,0.43649652389770965,1.4
0.01,8,0.8320623061873964,0.3712992881653169,1.0
0.01,9,0.7982619661657777,0.45687240601033696,1.0
0.01,10,0.7664370581621492,0.41961216145708125,1.0
0.01,8,0.7968044626386743,0.33995632545789284,1.6
0.01,9,0.785468780761847,0.3728766590489079,1.6
0.01,10,0.7204089029115153,0.37395571438817193,1.6
0.01,8,0.8047982014254472,0.3686753337223556,1.7
0.01,9,0.7636935172680627,0.36385302118060736,1.7
0.01,10,0.7105012163951243,0.37395571438817193,1.7
0.01,8,0.7928075932452879,0.42231077003804274,1.8
0.01,9,0.7422719842173119,0.47601251976247494,1.8
0.01,10,0.7367162321699625,0.4445798551730755,1.8
0.01,8,0.7746235282128551,0.4073488454504497,1.9
0.01,9,0.7346240695410969,0.34806373202544383,1.9
0.01,10,0.691886775061299,0.36259207802453564,1.9
0.005,8,0.7821576434148737,0.38062613908347454,1.5
0.005,9,0.7994429668631748,0.6541486291486291,1.5
0.005,10,0.7271093776642901,0.4755759566104394,1.5
0.005,8,0.8196437163151681,0.4643619226623179,1.1
0.005,9,0.7951792710399046,0.5626508785332315,1.1
0.005,10,0.7470173588670002,0.6599156590535901,1.1
0.005,8,0.8118505407994093,0.39399983525477594,1.2
0.005,9,0.7923264318427541,0.665812257917521,1.2
0.005,10,0.7436209448697136,0.6398977459322287,1.2
0.005,8,0.7988028973353676,0.4751241183059365,1.3
0.005,9,0.8018369726223236,0.6212715600743477,1.3
0.005,10,0.7476177344819224,0.5361820172165,1.3
0.005,8,0.801401561078587,0.4096820292007457,1.4
0.005,9,0.8151858437490958,0.6383549113425274,1.4
0.005,10,0.7413137905252388,0.626261382295865,1.4
0.005,8,0.8044848021531076,0.47323142446950867,1.0
0.005,9,0.8132178419886551,0.6595670325546487,1.0
0.005,10,0.7476177344819224,0.626261382295865,1.0
0.005,8,0.7905505867971023,0.344527760338037,1.6
0.005,9,0.7923574190562712,0.4950330371383003,1.6
0.005,10,0.7257040245372606,0.5361820172165,1.6
0.005,8,0.7852982654545025,0.3843100010949909,1.7
0.005,9,0.785667949587994,0.46857148237426993,1.7
0.005,10,0.7124957610089712,0.5361820172165,1.7
0.005,8,0.7695951552563577,0.4164727973551503,1.8
0.005,9,0.7715649557110231,0.6273321661349538,1.8
0.005,10,0.7103944463567433,0.5346376156720984,1.8
0.005,8,0.7696828488978381,0.4429923831109602,1.9
0.005,9,0.7668721044453841,0.4706511021009485,1.9
0.005,10,0.6965858072135318,0.44981838085286363,1.9
0.001,8,0.779761992744947,0.7845106913288731,1.5
0.001,9,0.7633655406662726,0.4171548148820876,1.5
0.001,10,0.7247076951616829,0.36524504218848464,1.5
0.001,8,0.8097363691821496,0.6226551226551227,1.1
0.001,9,0.8028208216684859,0.5206942712406557,1.1
0.001,10,0.761426373625134,0.3821719381115442,1.1
0.001,8,0.8016575590235749,0.563252299961786,1.2
0.001,9,0.7948512944381145,0.5496904866470083,1.2
0.001,10,0.7490247305005795,0.40572811844382717,1.2
0.001,8,0.7934645648305254,0.570021645021645,1.3
0.001,9,0.7798643439246975,0.4468949425500227,1.3
0.001,10,0.7326083441088663,0.38590252595502295,1.3
0.001,8,0.787184219291302,0.7223665223665223,1.4
0.001,9,0.7886197390041042,0.5335877572719677,1.4
0.001,10,0.7227021464626493,0.3718873744398714,1.4
0.001,8,0.8269234756808351,0.7374555396294528,1.0
0.001,9,0.791800367891855,0.49198228210085915,1.0
0.001,10,0.7476177344819224,0.3718873744398714,1.0
0.001,8,0.7626337776379739,0.5834529505582136,1.6
0.001,9,0.7666451726753303,0.49776023886986454,1.6
0.001,10,0.7046908780149821,0.38590252595502295,1.6
0.001,8,0.7512149675666585,0.5297672024944752,1.7
0.001,9,0.7692691194984929,0.5140210354114098,1.7
0.001,10,0.7076927560895933,0.3693034837469262,1.7
0.001,8,0.7423653897613892,0.5897602397602397,1.8
0.001,9,0.7385426839858784,0.5456781436657596,1.8
0.001,10,0.6854788583374702,0.33205780505920757,1.8
0.001,8,0.7278064069204622,0.5050123394792637,1.9
0.001,9,0.7307917231412814,0.5134821272849148,1.9
0.001,10,0.6695689045420309,0.3969218097015794,1.9
0.0005,8,0.6515858496944322,0.2554676185026098,1.5
0.0005,9,0.7106669610112781,0.4422251260468516,1.5
0.0005,10,0.6534568428897521,0.32979047911621917,1.5
0.0005,8,0.7189568291151928,0.29982555542153067,1.1
0.0005,9,0.723784948293443,0.3326557394662666,1.1
0.0005,10,0.7247078176276648,0.35155294975513,1.1
0.0005,8,0.6700463999388642,0.2760221126667806,1.2
0.0005,9,0.734935237483283,0.38533890352072164,1.2
0.0005,10,0.7057944454536523,0.37368486439836035,1.2
0.0005,8,0.6595790167443529,0.2987956406924532,1.3
0.0005,9,0.7201775017908476,0.40497539774901103,1.3
0.0005,10,0.6766741594584742,0.3322879816137217,1.3
0.0005,8,0.6590080762407872,0.23908661388631103,1.4
0.0005,9,0.7273923947960382,0.3118521640631174,1.4
0.0005,10,0.6706699521873253,0.2949525897328753,1.4
0.0005,8,0.7118707704505998,0.28314534521950535,1.0
0.0005,9,0.7486064627300284,0.4026010679753995,1.0
0.0005,10,0.7111983512675799,0.2949525897328753,1.0
0.0005,8,0.641879861133814,0.2775750927894248,1.6
0.0005,9,0.6980980748831831,0.36800856838536267,1.6
0.0005,10,0.6556594340094533,0.3397591408336659,1.6
0.0005,8,0.6689995350531881,0.34625412685010215,1.7
0.0005,9,0.6798396908981909,0.38849161794912257,1.7
0.0005,10,0.6398503116033799,0.34828439798763194,1.7
0.0005,8,0.6316029320696303,0.3363254239855764,1.8
0.0005,9,0.669345301072459,0.3577155034387367,1.8
0.0005,10,0.6196341903825602,0.30362151205310617,1.8
0.0005,8,0.6173294194804861,0.30965819388237215,1.9
0.0005,9,0.6534932648366184,0.3891944071254416,1.9
0.0005,10,0.6112283002029518,0.3222783833688293,1.9
0.0001,8,0.6644320110246619,0.1964780279009528,1.5
0.0001,9,0.6226635784983537,0.1491488641729472,1.5
0.0001,10,0.5579827900347367,0.13989630089324379,1.5
0.0001,8,0.6904098039369043,0.161898397174766,1.1
0.0001,9,0.6070348614821762,0.16869476209681666,1.1
0.0001,10,0.5884123125725862,0.1406149498332366,1.1
0.0001,8,0.690030740797714,0.1849406860356492,1.2
0.0001,9,0.6293354398618564,0.1523966653269207,1.2
0.0001,10,0.6160315619187131,0.1602644520256522,1.2
0.0001,8,0.664146540772879,0.1668948958968722,1.3
0.0001,9,0.6214646474925575,0.16169737298440756,1.3
0.0001,10,0.5893129436632585,0.14583696024492931,1.3
0.0001,8,0.6695704755567539,0.18592119744390062,1.4
0.0001,9,0.6001479181590397,0.16764587228663627,1.4
0.0001,10,0.5897189477573727,0.14148400628227448,1.4
0.0001,8,0.6975962412657071,0.16415840204605087,1.0
0.0001,9,0.6197116807572349,0.15014784525802063,1.0
0.0001,10,0.6116326577020345,0.14148400628227448,1.0
0.0001,8,0.651871319946215,0.18433311495711086,1.6
0.0001,9,0.629878953635496,0.28117023514680894,1.6
0.0001,10,0.5666044865828663,0.15619966697399423,1.6
0.0001,8,0.649587557931952,0.1843626032186832,1.7
0.0001,9,0.6208087481284492,0.3057265408259363,1.7
0.0001,10,0.5406788647669529,0.1395599564765611,1.7
0.0001,8,0.6401670396231168,0.171365410534349,1.8
0.0001,9,0.592933025153849,0.16169737298440756,1.8
0.0001,10,0.5376767611313785,0.14271044718204023,1.8
0.0001,8,0.6313174618178474,0.18306494738800289,1.9
0.0001,9,0.553788395320768,0.21697456745585086,1.9
0.0001,10,0.5539965986694992,0.13845944474084382,1.9
