LearningRate,Timestep,KendallTau,MAP,a
0.01,7,0.8493525558703173,0.925606345301455,1.5
0.01,8,0.8562524583399374,0.8511698690911355,1.5
0.01,9,0.8232702622025279,0.7828486042119109,1.5
0.01,7,0.8609819035990425,0.9244882334214383,1.1
0.01,8,0.8780748119227575,0.8525021574194316,1.1
0.01,9,0.8447854925492072,0.7838950116923924,1.1
0.01,7,0.8585939277270811,0.9241660457987246,1.2
0.01,8,0.8747782051940628,0.8528212496244819,1.2
0.01,9,0.8383361394578335,0.7846547075134753,1.2
0.01,7,0.855128110601734,0.9258912858907437,1.3
0.01,8,0.8698612064020076,0.8479826256528028,1.3
0.01,9,0.8337799693337655,0.7844311910250858,1.3
0.01,7,0.8517712915873349,0.9215337203558656,1.4
0.01,8,0.8635875819950923,0.8549692932361607,1.4
0.01,9,0.8294761937807492,0.7845782077275196,1.4
0.01,7,0.8640856366553352,0.925927415199439,1.0
0.01,8,0.8802915404523916,0.8529300465990024,1.0
0.01,9,0.8529961438318984,0.8224051280527105,1.0
0.01,7,0.8456560891191705,0.9226474185047504,1.6
0.01,8,0.8485445934567444,0.85085028615101,1.6
0.01,9,0.8182138382958002,0.7843543630228185,1.6
0.01,7,0.8452310807200074,0.9254477114914283,1.7
0.01,8,0.8441430294111686,0.8516123342481013,1.7
0.01,9,0.8118461793160818,0.782558163915126,1.7
0.01,7,0.8423590064318554,0.9217459248874061,1.8
0.01,8,0.8383331538425036,0.8513040220410569,1.8
0.01,9,0.8017780041043161,0.784705224541699,1.8
0.01,7,0.8381622682394834,0.9263510893852502,1.9
0.01,8,0.834284109132726,0.8495106216413315,1.9
0.01,9,0.7956067213510566,0.7778233785228865,1.9
0.005,7,0.8877003823732282,0.9195886720180318,1.5
0.005,8,0.8660585620192781,0.8567284089422981,1.5
0.005,9,0.8379936221032043,0.8440476314837773,1.5
0.005,7,0.8852957056825917,0.9198268246166297,1.1
0.005,8,0.8660263278497934,0.8757616359354203,1.1
0.005,9,0.8461841994690544,0.8251891092056123,1.1
0.005,7,0.8863005084439008,0.9190989926682999,1.2
0.005,8,0.8676221623582691,0.8614820152014582,1.2
0.005,9,0.8435461012454935,0.8307923464985713,1.2
0.005,7,0.8880702780255485,0.9300664483485924,1.3
0.005,8,0.8677958824901115,0.8869282551880363,1.3
0.005,9,0.8417817733347615,0.8563034289726459,1.3
0.005,7,0.8884720106967031,0.9493013543810005,1.4
0.005,8,0.8668954026600743,0.8302271388451068,1.4
0.005,9,0.8409974063372493,0.8316711710460927,1.4
0.005,7,0.8813744401171424,0.9203165039663618,1.0
0.005,8,0.8652384896382944,0.8841711188468075,1.0
0.005,9,0.8497629591905551,0.8497359374062953,1.0
0.005,7,0.8875742595754995,0.9653265237857138,1.6
0.005,8,0.8592711718667174,0.8779749283795881,1.6
0.005,9,0.832632703505604,0.8309558206619394,1.6
0.005,7,0.8860363966268926,0.9221396924261952,1.7
0.005,8,0.8575077790879623,0.8651027755640529,1.7
0.005,9,0.8279993225215073,0.827837440842042,1.7
0.005,7,0.8826073453242198,0.9334231208541176,1.8
0.005,8,0.8531702007203287,0.8544697015744346,1.8
0.005,9,0.8215907668815088,0.8400461544329539,1.8
0.005,7,0.8795291635364066,0.9077069748362937,1.9
0.005,8,0.849057065430888,0.8882581979014085,1.9
0.005,9,0.8171944780898607,0.8205289308487395,1.9
0.001,7,0.7978145239917472,0.22977220684602767,1.5
0.001,8,0.8300600452482151,0.2732650071790666,1.5
0.001,9,0.8083852271806334,0.2655317787566153,1.5
0.001,7,0.807261637540735,0.2317521258920704,1.1
0.001,8,0.8382993293094195,0.2763913950205239,1.1
0.001,9,0.8242360844420876,0.2637993379331237,1.1
0.001,7,0.805921916201188,0.2297965896721283,1.2
0.001,8,0.8371923076436439,0.27333266446043286,1.2
0.001,9,0.8199103710438371,0.26376870221313337,1.2
0.001,7,0.8039502794146003,0.23051738013214917,1.3
0.001,8,0.8366890185256056,0.27599649336308135,1.3
0.001,9,0.8161960087750356,0.2671709227910114,1.3
0.001,7,0.801079729902783,0.22981124741509773,1.4
0.001,8,0.8340636123455325,0.2707958721327267,1.4
0.001,9,0.8136477998575149,0.2662965843729551,1.4
0.001,7,0.8072826347381111,0.23172774306596977,1.0
0.001,8,0.8358104710331751,0.2753015824115954,1.0
0.001,9,0.8314483220267928,0.27472445476826324,1.0
0.001,7,0.7962064676034045,0.23231122823161235,1.6
0.001,8,0.824411634308528,0.27493976804660997,1.6
0.001,9,0.8035486391589326,0.2638521407980996,1.6
0.001,7,0.7934474272160691,0.22893248952647474,1.7
0.001,8,0.8214645656638168,0.273728587618706,1.7
0.001,9,0.7991057588007922,0.2665394626321511,1.7
0.001,7,0.7910289894914279,0.2305421614411595,1.8
0.001,8,0.8160374448816452,0.27359536337155005,1.8
0.001,9,0.7894687877203201,0.2662907957262097,1.8
0.001,7,0.7874364842529711,0.22948491225072465,1.9
0.001,8,0.8125561771908961,0.2766640087045086,1.9
0.001,9,0.7847927507697681,0.2665011984457536,1.9
0.0005,7,0.851742855937723,0.37053093632303824,1.5
0.0005,8,0.8326702119158071,0.39237482389242784,1.5
0.0005,9,0.826573190767326,0.34782722627684304,1.5
0.0005,7,0.8553444745283928,0.367988507568577,1.1
0.0005,8,0.8458250781989562,0.3954968532052925,1.1
0.0005,9,0.8377507589170662,0.34792882912212636,1.1
0.0005,7,0.8549500042189856,0.36918248539097726,1.2
0.0005,8,0.8423122323039026,0.3943763917932158,1.2
0.0005,9,0.8341036307845835,0.3474080406387502,1.2
0.0005,7,0.8559768564908293,0.3711844442907621,1.3
0.0005,8,0.8405995891120787,0.3927102911667816,1.3
0.0005,9,0.8321340344117576,0.349322003672519,1.3
0.0005,7,0.8538933287010525,0.3698487854311734,1.4
0.0005,8,0.8368120752934647,0.39348681321579904,1.4
0.0005,9,0.8304655057022953,0.3494436088237822,1.4
0.0005,7,0.8530929841458722,0.3693348849685834,1.0
0.0005,8,0.8445238603027165,0.3953729801557059,1.0
0.0005,9,0.8426833953153025,0.3754308651736994,1.0
0.0005,7,0.849202043113602,0.36709281469769356,1.6
0.0005,8,0.8254950802083084,0.39222707491890085,1.6
0.0005,9,0.8222229642452026,0.3472966443044642,1.6
0.0005,7,0.8473531052892561,0.37025329768688375,1.7
0.0005,8,0.8209869837043995,0.39539355497925016,1.7
0.0005,9,0.8180251124786285,0.3482931467861425,1.7
0.0005,7,0.8443406546659911,0.3706689021166343,1.8
0.0005,8,0.8169283273211977,0.3940198655165318,1.8
0.0005,9,0.8082674328340543,0.3487759677514781,1.8
0.0005,7,0.8410706680285148,0.3712712473892553,1.9
0.0005,8,0.8136300462849878,0.3966207076320039,1.9
0.0005,9,0.803443362017016,0.3478760753483272,1.9
0.0001,7,0.823665621915823,0.36949539985291,1.5
0.0001,8,0.7892208818331586,0.4134258772011506,1.5
0.0001,9,0.8166841272900959,0.36975520956174124,1.5
0.0001,7,0.8296040272912261,0.36809560780516865,1.1
0.0001,8,0.8061877202388738,0.4139537945621858,1.1
0.0001,9,0.8274615710144216,0.3688999421367416,1.1
0.0001,7,0.8286440449818816,0.369406909920134,1.2
0.0001,8,0.8016219552902875,0.41382343496574203,1.2
0.0001,9,0.8241995433516757,0.36962502688535537,1.2
0.0001,7,0.8292045216882501,0.3688429129158539,1.3
0.0001,8,0.797849241228111,0.4126622839002915,1.3
0.0001,9,0.8225810995649687,0.37084117655115384,1.3
0.0001,7,0.8259401181011777,0.36910009451140385,1.4
0.0001,8,0.7946807373348963,0.4139777184225444,1.4
0.0001,9,0.8200962069026232,0.3698588525805754,1.4
0.0001,7,0.828667305860294,0.36818313581471385,1.0
0.0001,8,0.806593362326138,0.41335567224533154,1.0
0.0001,9,0.8327451622334671,0.38856973982098686,1.0
0.0001,7,0.8218800964054076,0.3682501098155163,1.6
0.0001,8,0.7824780052120892,0.41134732626539133,1.6
0.0001,9,0.8123064062131171,0.3695172520404294,1.6
0.0001,7,0.8210289952236782,0.3694709623418989,1.7
0.0001,8,0.7776369977197258,0.4146723816689196,1.7
0.0001,9,0.8072647292880715,0.3685423349697048,1.7
0.0001,7,0.8199150925138528,0.3685640148869289,1.8
0.0001,8,0.773203841791635,0.4137254711180928,1.8
0.0001,9,0.8004133210124292,0.3706138945687958,1.8
0.0001,7,0.8152651437050367,0.3691703368634185,1.9
0.0001,8,0.7702086267493915,0.4141252051103652,1.9
0.0001,9,0.7952359782920165,0.36929631178464284,1.9
