LearningRate,Timestep,KendallTau,MAP,a
0.01,7,0.8160365729307669,0.5028451423554969,1.5
0.01,8,0.8260128163963497,0.5511553494956678,1.5
0.01,7,0.8112237086520897,0.5242032444000541,1.1
0.01,8,0.7808965718084606,0.6028546159380709,1.1
0.01,7,0.8228428966085847,0.5014651434475075,1.2
0.01,8,0.7973830359652944,0.55614894304195,1.2
0.01,7,0.8269721909738126,0.5111276745379594,1.3
0.01,8,0.8028829098819396,0.5765037898178633,1.3
0.01,7,0.8184784796830242,0.5348041074738323,1.4
0.01,8,0.82274313053311,0.5978751662521828,1.4
0.01,7,0.7948657723211472,0.49080884325057283,1.0
0.01,8,0.7586339242798392,0.6084818899079736,1.0
0.01,7,0.8109342160454476,0.5150841314421873,1.6
0.01,8,0.8321810320400272,0.5821301520212161,1.6
0.01,7,0.8071611757947644,0.5365602249189845,1.7
0.01,8,0.8242547147945316,0.5831664192675454,1.7
0.01,7,0.800025224984375,0.44081501240925564,1.8
0.01,8,0.8275479551493841,0.5439127508038833,1.8
0.01,7,0.7965585213704306,0.4799268376945635,1.9
0.01,8,0.817032697559052,0.49344190290251905,1.9
0.005,7,0.8131200120688258,0.46538916583714873,1.5
0.005,8,0.8202350758919471,0.5790445782936163,1.5
0.005,7,0.8071439216752405,0.4552054857551166,1.1
0.005,8,0.7742995214260001,0.6346840401741288,1.1
0.005,7,0.8148595717287104,0.43980922139036505,1.2
0.005,8,0.7912727048145239,0.608179362107268,1.2
0.005,7,0.8237272774432768,0.4800947754773829,1.3
0.005,8,0.7979698756244143,0.6196041760605618,1.3
0.005,7,0.8181616082393832,0.5424725502861064,1.4
0.005,8,0.8138694977268464,0.6316000986956645,1.4
0.005,7,0.783554091174246,0.47402427194621005,1.0
0.005,8,0.7580763159081322,0.6451960513210784,1.0
0.005,7,0.8028022278418947,0.4630036162159692,1.6
0.005,8,0.8272097140349456,0.5689451324111218,1.6
0.005,7,0.8002185179744654,0.46949153316945264,1.7
0.005,8,0.8158626157972121,0.569438947941479,1.7
0.005,7,0.7952935058713555,0.40716091125331416,1.8
0.005,8,0.8216309520561238,0.5831421387797626,1.8
0.005,7,0.7912251939279996,0.4481481418819969,1.9
0.005,8,0.8152642025915561,0.4669031006046722,1.9
0.001,7,0.8018861311493387,0.5223096097132325,1.5
0.001,8,0.8050698989594789,0.5605887538968369,1.5
0.001,7,0.8138899180062017,0.5501219682690011,1.1
0.001,8,0.7606488978095196,0.5791493868658725,1.1
0.001,7,0.8150701084820855,0.5438074707459005,1.2
0.001,8,0.7806104887787719,0.6003215196048941,1.2
0.001,7,0.8163089718123793,0.5431409605018335,1.3
0.001,8,0.7968447715714215,0.5545058462806273,1.3
0.001,7,0.8154475438783821,0.4893265034104637,1.4
0.001,8,0.8033712143761983,0.5873542655725857,1.4
0.001,7,0.7937093222833551,0.5568204730731198,1.0
0.001,8,0.7532673423269235,0.5826820710910295,1.0
0.001,7,0.7938111739754908,0.489589554729817,1.6
0.001,8,0.8163894574476342,0.6029992654794578,1.6
0.001,7,0.7898089085397622,0.5340977717597438,1.7
0.001,8,0.8116497819703131,0.575599102716664,1.7
0.001,7,0.7866512117587227,0.47709988693269423,1.8
0.001,8,0.8074541722358164,0.5749624201123664,1.8
0.001,7,0.7711224343489825,0.46049540214752394,1.9
0.001,8,0.797435591719881,0.49539139099940305,1.9
0.0005,7,0.7825132792588082,0.48659978693767736,1.5
0.0005,8,0.7852268305765187,0.438115209535025,1.5
0.0005,7,0.7986344264545182,0.5128813662651729,1.1
0.0005,8,0.7585903691386988,0.6250456190082557,1.1
0.0005,7,0.7985269242667328,0.4922417152501939,1.2
0.0005,8,0.7663007440704517,0.3965712056790342,1.2
0.0005,7,0.7941383124165027,0.5247786797735818,1.3
0.0005,8,0.7694585768070057,0.5076587894146858,1.3
0.0005,7,0.7859537183863478,0.5161755724223209,1.4
0.0005,8,0.7882871521616444,0.5091153456935003,1.4
0.0005,7,0.7862990896325435,0.5143596384039896,1.0
0.0005,8,0.7373283293575132,0.5546125232377684,1.0
0.0005,7,0.7745747357372972,0.42923197833118254,1.6
0.0005,8,0.8004434892026648,0.4970039833231389,1.6
0.0005,7,0.7679872004495839,0.5087469028278148,1.7
0.0005,8,0.788124082711751,0.4774397789260738,1.7
0.0005,7,0.7696619362443742,0.47817630949408313,1.8
0.0005,8,0.7943567943306786,0.4402515300315343,1.8
0.0005,7,0.7626428157206783,0.47087025820782774,1.9
0.0005,8,0.781024136889103,0.4061765827698386,1.9
0.0001,7,0.7243879369043577,0.2959626013322749,1.5
0.0001,8,0.7306494936031881,0.24679060369286665,1.5
0.0001,7,0.7165589725514215,0.29076764021472273,1.1
0.0001,8,0.6792892945419851,0.22336999665053936,1.1
0.0001,7,0.7487819722354968,0.35029355814085694,1.2
0.0001,8,0.703915756865924,0.2677415422360628,1.2
0.0001,7,0.735688771805009,0.31466280257820245,1.3
0.0001,8,0.6987320017891611,0.20578062321695945,1.3
0.0001,7,0.729223912395206,0.2741006194643046,1.4
0.0001,8,0.7245437471975055,0.24883194088243862,1.4
0.0001,7,0.7179829405016634,0.2865770814410077,1.0
0.0001,8,0.6650044917658501,0.24777781560266646,1.0
0.0001,7,0.7156071962162353,0.2770911887171475,1.6
0.0001,8,0.7252531127458753,0.25420788198820343,1.6
0.0001,7,0.7252675514235256,0.2977641399910404,1.7
0.0001,8,0.721844204959743,0.23736878439693582,1.7
0.0001,7,0.7146244025339618,0.28096913914656546,1.8
0.0001,8,0.7260467599696063,0.22289252952522398,1.8
