LearningRate,Timestep,KendallTau,MAP,a
0.01,7,0.9023625260314322,0.8006502573526045,1.5
0.01,8,0.8717904346116511,0.764835767903505,1.5
0.01,9,0.8410431145886719,0.25195813572935183,1.5
0.01,7,0.9062386935328491,0.7760399555834145,1.1
0.01,8,0.8777482291565096,0.7621408588227511,1.1
0.01,9,0.8704407187273595,0.5676190797608823,1.1
0.01,7,0.9050707135543605,0.743629475942728,1.2
0.01,8,0.8786406588446821,0.8098942962292962,1.2
0.01,9,0.8644099181127667,0.45450410868672886,1.2
0.01,7,0.904087170660101,0.7736229267623723,1.3
0.01,8,0.8760967113304271,0.7730246324656408,1.3
0.01,9,0.8565003136958012,0.39767296553800724,1.3
0.01,7,0.9014097968950501,0.7476644078682223,1.4
0.01,8,0.8737268666306085,0.764931273455232,1.4
0.01,9,0.8497412875784106,0.29361161286099274,1.4
0.01,7,0.9053147135376258,0.7841236375370368,1.0
0.01,8,0.8765649393785406,0.7973535357108792,1.0
0.01,9,0.8790958624652286,0.5697073283035415,1.0
0.01,7,0.8996773904348009,0.7662880329121342,1.6
0.01,8,0.8694842711826405,0.8127922748396168,1.6
0.01,9,0.8331456075018452,0.25487245150265947,1.6
0.01,7,0.8954781498227979,0.7893297215508268,1.7
0.01,8,0.8665959355150482,0.7671487137554347,1.7
0.01,9,0.8275489502286901,0.24821318893231206,1.7
0.01,7,0.894934052475271,0.7596523352200353,1.8
0.01,8,0.8659124071465643,0.8003179929940308,1.8
0.01,9,0.821052897394795,0.24976578112496461,1.8
0.01,7,0.8928237862608641,0.7720616499141016,1.9
0.01,8,0.8635430727154111,0.7712547855792523,1.9
0.01,9,0.8168921847656132,0.2510022560277621,1.9
0.005,7,0.8644823328316347,0.6355061688723183,1.5
0.005,8,0.8381703277457798,0.5677548239342121,1.5
0.005,9,0.8074751724763094,0.2346898360026639,1.5
0.005,7,0.8650446470657475,0.5999789178620849,1.1
0.005,8,0.8482028174814862,0.5752931407879947,1.1
0.005,9,0.8213248100209871,0.25979707890445775,1.1
0.005,7,0.8645674807015731,0.6166604250932215,1.2
0.005,8,0.8481558395044707,0.5464944650454486,1.2
0.005,9,0.8161229599858627,0.2543376356158893,1.2
0.005,7,0.8644730854176642,0.6179343203370242,1.3
0.005,8,0.8459041704910137,0.556745054401059,1.3
0.005,9,0.8115533381412925,0.24650855653253656,1.3
0.005,7,0.8654644437245879,0.6471364068202898,1.4
0.005,8,0.8423522925485075,0.5791447390581572,1.4
0.005,9,0.809331878376617,0.24255017920284103,1.4
0.005,7,0.8630654717371633,0.6145245662772542,1.0
0.005,8,0.8487018118403317,0.5696459568837873,1.0
0.005,9,0.8279497549822465,0.2652757188774062,1.0
0.005,7,0.8629443716039562,0.6318486730441123,1.6
0.005,8,0.8355695191322648,0.5359309101526782,1.6
0.005,9,0.8063421178713271,0.23758043025631523,1.6
0.005,7,0.8624212617459689,0.619280014289149,1.7
0.005,8,0.8337903586474286,0.5733823951447223,1.7
0.005,9,0.8062091176304783,0.2394073958632571,1.7
0.005,7,0.8645816668516011,0.6478152184214166,1.8
0.005,8,0.8335144681725093,0.5690821029156418,1.8
0.005,9,0.8031154317823375,0.2384117784512927,1.8
0.005,7,0.8603269443969024,0.6081190797524236,1.9
0.005,8,0.8318271763711235,0.5785891660197474,1.9
0.005,9,0.8012374894989021,0.24087318951248807,1.9
0.001,7,0.7917997460222251,0.8846952572510841,1.5
0.001,8,0.7677871082437869,0.8509748096166064,1.5
0.001,9,0.7063219490581173,0.3033842949622243,1.5
0.001,7,0.7940462756989309,0.8940289969498424,1.1
0.001,8,0.775545527327741,0.8657591765332331,1.1
0.001,9,0.7222969828189991,0.4674465980447131,1.1
0.001,7,0.7939593117395026,0.8937792184224149,1.2
0.001,8,0.7747610924510969,0.8105377680348582,1.2
0.001,9,0.7181530978756996,0.4385276269763749,1.2
0.001,7,0.7932898321938147,0.8889310598944417,1.3
0.001,8,0.7732066206140542,0.8510332068852774,1.3
0.001,9,0.7141478537344591,0.39441628314585164,1.3
0.001,7,0.7906431470758813,0.8769995790031487,1.4
0.001,8,0.7708379703823416,0.8744716631894285,1.4
0.001,9,0.7095780316438766,0.3564178073826613,1.4
0.001,7,0.7955923441139526,0.8897496858353663,1.0
0.001,8,0.7763130337021064,0.8476228902979672,1.0
0.001,9,0.7261481315409518,0.4886100960389486,1.0
0.001,7,0.7893929259202331,0.8713974102244045,1.6
0.001,8,0.7667003586014609,0.8926138083909392,1.6
