Timestep,KendallTau,MAP,a
7,0.7269838471419952,0.8286304176164425,1.0
8,0.7437738117295969,0.8219614928705161,1.0
9,0.7352859604180637,0.7725064495819822,1.0
7,0.7413260778867915,0.8568782995504584,1.1
9,0.7470039506621169,0.8171247149037172,1.1
8,0.7371267024595286,0.8257647921454748,1.1
8,0.7454308183989878,0.8485285245756813,1.2
7,0.7552327622448947,0.8715849132438408,1.2
9,0.7486567816616029,0.8283678273640988,1.2
7,0.7694733513865124,0.9084318175792157,1.3
9,0.7603901716243237,0.7751520575528645,1.3
8,0.7621337372296662,0.8585368191300573,1.3
9,0.7677503953167978,0.8548142561342958,1.4
7,0.7723313035956815,0.8823186928666107,1.4
8,0.787273089243359,0.8969071079954641,1.4
8,0.7814864674889345,0.8717122557207533,1.5
7,0.7899647586170077,0.8532970168765954,1.5
9,0.7740589073401986,0.8801322343053223,1.5
7,0.792174227154025,0.8851394174705232,1.6
8,0.7873362531915257,0.882371253696152,1.6
9,0.7892083003342265,0.9004668888935361,1.6
7,0.7974603409978828,0.9187623295436806,1.7
8,0.7889853328918002,0.8683358400567335,1.7
9,0.7966631109880419,0.8876247111391323,1.7
7,0.7892009942622054,0.8740703110247483,1.8
8,0.7855544718551728,0.8934026553799698,1.8
9,0.7938539995283942,0.8847893744707407,1.8
7,0.7973136780226381,0.9116825908708172,1.9
8,0.7895850670812253,0.8785616725615591,1.9
9,0.7970250455337795,0.8891341166427138,1.9
