Timestep,KendallTau,MAP,a
8,0.7931495700160924,0.43896376408915594,1.0
9,0.7711361495085963,0.4163519306393057,1.0
10,0.7074988871477332,0.24170036020777066,1.0
8,0.7407585347106733,0.21801685605513355,1.1
10,0.7075958269048906,0.2405048059941288,1.1
9,0.7791084175521936,0.39503158431895935,1.1
9,0.7867512872478339,0.43853309893459674,1.2
8,0.7767326872673793,0.2742755408282762,1.2
10,0.7086996910825913,0.21449071248991672,1.2
8,0.804512710754491,0.4867724192465305,1.3
10,0.6976888849074951,0.24993915691902474,1.3
9,0.7551661256215221,0.4593717732232031,1.3
10,0.6934859398176909,0.2362078842070884,1.4
8,0.7811024757360849,0.2690885392776383,1.4
9,0.72236846544252,0.26773686874622704,1.4
9,0.7194166760264099,0.3762714141905378,1.5
8,0.7696828488978381,0.36407785728359887,1.5
10,0.6879836230102767,0.25073280771267553,1.5
8,0.7239133801344816,0.21803275005640588,1.6
9,0.735815377496087,0.3752053036219509,1.6
10,0.6787756320033762,0.24993915691902474,1.6
8,0.7207727580948525,0.2145701257242163,1.7
9,0.6997380799190086,0.2646904338816104,1.7
10,0.6748728972771295,0.24993915691902474,1.7
8,0.7133494696375476,0.21333425367494713,1.8
9,0.6836672264312976,0.3602216921993712,1.8
10,0.6610632205534872,0.28236225314498564,1.8
8,0.7374224030797908,0.25833748127865774,1.9
9,0.6796231823827356,0.2887864408478519,1.9
10,0.6622640620077169,0.2810585970191285,1.9
