Timestep,KendallTau,MAP,a
7,0.8591245729421965,0.5324374089829471,1.0
8,0.8479158315410862,0.48924789996329987,1.0
9,0.834893064579548,0.42911155338540313,1.0
7,0.8624223559624123,0.5319190553204648,1.1
9,0.8294022256056535,0.3913517451310784,1.1
8,0.8513938328618638,0.48840035922713615,1.1
8,0.8514313921234378,0.486588540976255,1.2
7,0.8636582219879412,0.5266265494109663,1.2
9,0.8255670180801279,0.3912336361546023,1.2
7,0.8655187769809268,0.528194803006355,1.3
9,0.8234050034444316,0.3942135430273856,1.3
8,0.850135013881092,0.49067808377930905,1.3
9,0.8227264274215087,0.3934089633140282,1.4
7,0.8649543311347934,0.5264887591289622,1.4
8,0.8472598418855599,0.481000998407597,1.4
8,0.8442285911633085,0.48450942223143834,1.5
7,0.8632703800489674,0.527141693300675,1.5
9,0.8181320269083588,0.39259017698382204,1.5
7,0.8629419633616392,0.5325095845804078,1.6
8,0.8391949454451436,0.48635735730796553,1.6
9,0.8139468315110677,0.3912384972597394,1.6
7,0.8630500981976998,0.5269608005758339,1.7
8,0.8352737222813034,0.48475812432409277,1.7
9,0.81021869289685,0.39226249575798233,1.7
7,0.8613545578323111,0.5275067043982884,1.8
8,0.8302155860795974,0.48426911807423845,1.8
9,0.8011422211961812,0.3933919491035899,1.8
7,0.8584611269093988,0.5273833390648904,1.9
8,0.8265647140154324,0.4906961239902279,1.9
9,0.7969992911386742,0.3906691037139157,1.9
