Timestep,KendallTau,MAP,a
7,0.7873853000932088,0.49789967221627834,1.0
8,0.7378830743602467,0.5264208809819141,1.0
8,0.7467416894244492,0.5314439184230867,1.1
7,0.8084239524115727,0.5536310272720364,1.1
8,0.7553375188824243,0.5025182759129437,1.2
7,0.8098867532904828,0.5003682919437298,1.2
7,0.8116013138159476,0.4873739765926302,1.3
8,0.7757200392515491,0.5399080551290295,1.3
8,0.796315660157939,0.4973697284987305,1.4
7,0.8042491855949219,0.503956341759474,1.4
8,0.806110766468891,0.47385436985413465,1.5
7,0.8046174924968358,0.4920505107540302,1.5
7,0.7946061612361973,0.51142988040955,1.6
8,0.8002698856522684,0.5001924465438239,1.6
7,0.7893867622590867,0.5249492821917378,1.7
8,0.7975407989592938,0.4847444678556795,1.7
7,0.7847431597245661,0.4392629883670929,1.8
8,0.7976907902035394,0.5251358646575996,1.8
7,0.7846616548052555,0.4789676809873073,1.9
8,0.7957155952157566,0.44670162557771725,1.9
