Timestep,KendallTau,MAP,a
7,0.842303248267543,0.9635693448548277,1.0
8,0.8268916709926634,0.8587020011254951,1.0
9,0.7969454308751942,0.5231923158835734,1.0
7,0.8424800433760727,0.9595866286300855,1.1
9,0.799445283305483,0.522625221669762,1.1
8,0.8277184214028487,0.8531043553364971,1.1
8,0.8256045683398188,0.8480464240603622,1.2
7,0.8408689496829181,0.9611895908090025,1.2
9,0.8024250040047888,0.5809443167358416,1.2
7,0.8398971436138932,0.9576220429680459,1.3
9,0.8030667075495432,0.6208814886600924,1.3
8,0.8249271913334748,0.8516457485209212,1.3
9,0.8045684434923364,0.6804316406109743,1.4
7,0.8383506428776333,0.952793709835792,1.4
8,0.8217398810167451,0.8666895172842715,1.4
8,0.8189639032440302,0.8585145131014229,1.5
7,0.8382475114203082,0.9471453396172458,1.5
9,0.8059904057698388,0.7152649676389343,1.5
7,0.833924509985221,0.9540656642253726,1.6
8,0.8164793826694721,0.859298457244615,1.6
9,0.8108859325187576,0.74006691382065,1.6
7,0.8328274402791463,0.9397951792153671,1.7
8,0.8133744620851825,0.8703344455280044,1.7
9,0.8104064400306431,0.7153101161900643,1.7
7,0.8306219770946012,0.9424116878799979,1.8
8,0.8134705493271016,0.8523206258580457,1.8
9,0.808526657857576,0.7140226976121423,1.8
7,0.8281316534266502,0.9451527133780373,1.9
8,0.8101265795502002,0.8565419498353062,1.9
9,0.8082732633623106,0.7255485250290833,1.9
