Timestep,KendallTau,MAP,a
7,0.778123284,0.534861818,1
8,0.782343383,0.573293543,1
9,0.763849785,0.508793738,1
7,0.784891537,0.51147346,1.1
9,0.773482366,0.550300889,1.1
8,0.786556143,0.4531584,1.1
8,0.792383059,0.530851696,1.2
7,0.78446851,0.527745389,1.2
9,0.790026278,0.541886572,1.2
7,0.788458842,0.535933848,1.3
9,0.782968973,0.469564363,1.3
8,0.785581896,0.572350833,1.3
9,0.791236437,0.510626552,1.4
7,0.780722071,0.444004092,1.4
8,0.796387247,0.484100729,1.4
8,0.782272644,0.464606842,1.5
7,0.779105668,0.429277196,1.5
9,0.793858447,0.524927069,1.5
7,0.773597532,0.450631235,1.6
8,0.777371997,0.492057677,1.6
9,0.787269806,0.533243793,1.6
7,0.758840525,0.490980413,1.7
8,0.758598782,0.427331985,1.7
9,0.780001066,0.445736854,1.7
7,0.73811909,0.419251071,1.8
8,0.754421088,0.438877033,1.8
9,0.766222199,0.424349959,1.8
7,0.744717213,0.425069994,1.9
8,0.742716495,0.462760996,1.9
9,0.751700377,0.433986469,1.9
