Timestep,KendallTau,MAP,a
7,0.7195661094847945,0.17072808248731933,1.0
8,0.7402849959335499,0.2091658318165664,1.0
9,0.776675166905783,0.3390576432317557,1.0
7,0.7220804786682002,0.1776215584726262,1.1
9,0.793770266339407,0.3944271531126872,1.1
8,0.7430466220890699,0.21131892096055166,1.1
8,0.7481890837398525,0.20897388227346214,1.2
7,0.7309859820629561,0.21305632774627198,1.2
9,0.7965521122606632,0.3921791595003639,1.2
7,0.7282294624780223,0.18741930974383292,1.3
9,0.7999366997340795,0.41266144543019956,1.3
8,0.7524521186457553,0.2122353099357383,1.3
9,0.8008685785926448,0.38922331691033546,1.4
7,0.7333552990756604,0.20012990657583773,1.4
8,0.7543386866629017,0.21066145592511265,1.4
8,0.7572936839020374,0.21592074828763996,1.5
7,0.7329053542056524,0.2055048992613135,1.5
9,0.8008670685020635,0.38080784443846616,1.5
7,0.7369754730493897,0.2081447255877597,1.6
8,0.7523284854936,0.23210067784270721,1.6
9,0.8025213211003301,0.38849398161961707,1.6
7,0.7394373112397699,0.20508402740559245,1.7
8,0.7566135076892366,0.221402849151344,1.7
9,0.8043055957253281,0.3830514959093037,1.7
7,0.7398492459031742,0.20272968603684532,1.8
8,0.7570585363006659,0.226008048208532,1.8
9,0.7964404856980015,0.35495910045616047,1.8
7,0.7408015087811396,0.20862468760144365,1.9
8,0.7518461626483119,0.23244932771116447,1.9
9,0.8067248453460492,0.4219113119171481,1.9
