Timestep,KendallTau,MAP,a
8,0.7721092836108471,0.5314091247344837,1.0
9,0.7576880073861579,0.406558114354037,1.0
10,0.728910762717469,0.39472273377860695,1.0
8,0.7512149675666585,0.40553185012177106,1.1
10,0.6833775436852425,0.2797421931811884,1.1
9,0.7562519668168008,0.3844881203169973,1.1
9,0.7473973254013396,0.30299984017662895,1.2
8,0.7425610081981191,0.4463093198777186,1.2
10,0.6841793029301887,0.3480837676052987,1.2
8,0.7506440270630929,0.3605944804509398,1.3
10,0.6683681533121864,0.3449309223471903,1.3
9,0.7405103820782031,0.3207900594845491,1.3
10,0.6542593263615137,0.3359936689781188,1.4
8,0.7300901689347252,0.5061578047262034,1.4
9,0.7024682189599251,0.3501335891262607,1.4
9,0.6909899800880309,0.2732396211706557,1.5
8,0.7178149481080611,0.6129942937992474,1.5
10,0.6478538550782568,0.3455775019411383,1.5
8,0.7312320499418568,0.4558887058887059,1.6
9,0.7343997612716916,0.36001640969613635,1.6
10,0.6434525652929133,0.3449309223471903,1.6
8,0.7203841803741071,0.40681740681740675,1.7
9,0.6791837915340826,0.3966280573532095,1.7
10,0.6350473066840019,0.3449309223471903,1.7
8,0.7203841803741071,0.4207859562698272,1.8
9,0.6647540055237013,0.2995045695045695,1.8
10,0.6392499359884577,0.3113106501341795,1.8
8,0.7146747753384495,0.4234480670844307,1.9
9,0.6649724438927196,0.3418154394624983,1.9
10,0.6161354748139513,0.39153433687524597,1.9
