Timestep,KendallTau,MAP,a
7,0.7924896704244018,0.20924400434263776,1.0
8,0.7504124601366098,0.2437530935994611,1.0
9,0.8207341673696403,0.31711052871566425,1.0
7,0.7939709732469158,0.2092882271287596,1.1
9,0.8187712906656329,0.30429777283964055,1.1
8,0.7460921628441322,0.2439002352963075,1.1
8,0.7398108499763685,0.24380982632610826,1.2
7,0.7946701596004718,0.20947928089503343,1.2
9,0.8176180451775242,0.30357932766562234,1.2
7,0.7949623920710233,0.20934799587811131,1.3
9,0.8191448093965373,0.3034656868111354,1.3
8,0.7348507010006946,0.24348143735077304,1.3
9,0.8188723363339053,0.30405290919905736,1.4
7,0.7947064041091679,0.20907543493381398,1.4
8,0.7294704970022171,0.24422865526650744,1.4
8,0.7244202325878852,0.2437787363167235,1.5
7,0.7947142078380243,0.2094350581089116,1.5
9,0.815411540302503,0.3039090347080423,1.5
7,0.7934073984374092,0.20917787490342743,1.6
8,0.7189415710817765,0.2434099538656168,1.6
9,0.8107735490962078,0.30348008811466637,1.6
7,0.7948502039879323,0.20942409691380232,1.7
8,0.7138443397911441,0.2436779189717676,1.7
9,0.8064065226837339,0.3025727652739046,1.7
7,0.7946978455762298,0.20894454812235463,1.8
8,0.7087964490121802,0.24383536404993902,1.8
9,0.7988780681529092,0.3036520316544106,1.8
7,0.7927751653177372,0.2093915352281595,1.9
8,0.706483235817599,0.24323907163305133,1.9
9,0.7938275114129627,0.30276591520324625,1.9
