Timestep,KendallTau,MAP,a
7,0.7232899375210387,0.40844550427683635,1.0
8,0.653026783990323,0.4364064826738789,1.0
8,0.6754603325774804,0.44596904929296477,1.1
7,0.7508485782929883,0.4128403237103768,1.1
8,0.6651448474793389,0.3812493461876503,1.2
7,0.7536271441336224,0.3467485985517656,1.2
7,0.76130108064539,0.3782345332092216,1.3
8,0.6895388645354031,0.4233557426159692,1.3
8,0.7121129083122916,0.47643051766358085,1.4
7,0.7593273094453441,0.4352144478313418,1.4
8,0.7281495673676691,0.3564480264307417,1.5
7,0.7544227950355633,0.3775008114317293,1.5
7,0.748920657621166,0.40643539486221736,1.6
8,0.7353706206046302,0.4932826226040852,1.6
7,0.7609072907448635,0.4274680001049087,1.7
8,0.7332342899810836,0.4177477784904009,1.7
7,0.7537065414966548,0.3588516037250604,1.8
8,0.7250856790794867,0.356527167302787,1.8
7,0.7521467338138916,0.3634413928359918,1.9
8,0.7390990428776903,0.37039904087004694,1.9
