Timestep,KendallTau,MAP,a
7,0.69661139,0.210444773,1
8,0.787403595,0.315729471,1
9,0.798425925,0.509871753,1
7,0.691768029,0.211335161,1.1
9,0.799239416,0.498759125,1.1
8,0.787180878,0.314699478,1.1
8,0.78555146,0.313660707,1.2
7,0.687764621,0.211287867,1.2
9,0.801756405,0.620649818,1.2
7,0.684260585,0.209981326,1.3
9,0.802129718,0.687821884,1.3
8,0.784317488,0.314724621,1.3
9,0.805626106,0.80999203,1.4
7,0.680916185,0.210549743,1.4
8,0.781266177,0.314826171,1.4
8,0.777312413,0.315130553,1.5
7,0.678041793,0.208827817,1.5
9,0.811838516,0.866303427,1.5
7,0.673367938,0.210757954,1.6
8,0.776810525,0.311100179,1.6
9,0.81900918,0.883792941,1.6
7,0.670536937,0.209829063,1.7
8,0.774346359,0.316326555,1.7
9,0.820314168,0.860813556,1.7
7,0.668068359,0.210383535,1.8
8,0.77360025,0.313563116,1.8
9,0.822694512,0.83706259,1.8
7,0.665810594,0.209349748,1.9
8,0.770111231,0.308730015,1.9
9,0.819725577,0.829758567,1.9
